143
diam	c	r	EConv0	EConv1	EConv2	OConv0	OConv1
6	3	3	3.28	4.18	1.87	1.03	-0.45	44	
6	3	8	0.61	0.62	2.73	1.99	-3.57	45	
6	3	13	-1.95	24.31	6.51	-10.15	-7.20	46	
6	3	18	1.00	13.61	27.08	3.37	-17.77	47	
6	3	23	0.49	3.46	2.82	-1.65	1.38	48	
6	3	28	-0.17	2.05	3.40	0.13	0.91	49	
6	3	33	2.07	3.98	3.39	-2.59	0.16	50	
6	3	38	5.88	3.60	2.90	-1.43	-2.75	51	
6	3	43	-13.49	-14.16	12.46	22.37	-26.25	52	
6	7	3	3.47	1.10	2.62	0.89	0.97	53	
6	7	8	1.13	4.62	2.76	0.77	1.12	54	
6	7	13	12.08	-11.92	-10.70	-91.41	-3.07	55	
6	7	18	-13.27	-31.74	-34.67	59.36	19.88	56	
6	7	23	-2.69	1.32	-0.66	-3.86	-0.28	57	
6	7	28	2.55	4.03	2.53	-1.47	0.37	58	
6	7	33	2.32	2.72	1.90	-3.47	-3.36	59	
6	7	38	15.47	19.65	-0.42	-37.13	-23.77	60	
6	7	43	16.05	18.27	-3.38	41.31	24.92	61	
6	11	3	4.77	4.14	3.72	0.82	-1.54	62	
6	11	8	3.26	0.78	3.08	-1.35	1.59	63	
6	11	13	-1.46	-6.30	20.77	-13.37	26.40	64	
6	11	18	4.37	18.45	4.22	3.17	11.30	65	
6	11	23	1.44	2.59	3.46	-0.49	-2.31	66	
6	11	28	1.97	3.05	4.45	-1.32	-2.13	67	
6	11	33	7.17	15.06	-0.10	-11.99	-10.54	68	
6	11	38	-23.64	-46.74	11.72	12.05	6.49	69	
6	11	43	9.28	10.11	0.80	2.69	2.15	70	
6	15	3	5.18	4.36	5.22	1.32	1.94	71	
6	15	8	1.75	1.22	1.14	0.09	1.30	72	
6	15	13	2.80	3.22	4.28	1.07	-0.19	73	
6	15	18	4.56	4.70	5.06	-1.02	-0.29	74	
6	15	23	2.61	2.25	1.77	-2.25	-3.38	75	
6	15	28	2.64	5.61	2.07	0.68	-2.95	76	
6	15	33	-12.27	-27.53	4.70	-32.71	-16.82	77	
6	15	38	17.14	29.02	-1.94	19.94	19.28	78	
6	15	43	7.34	8.35	2.42	-10.91	-6.03	79	
6	19	3	6.28	4.55	3.72	3.27	-1.88	80	
6	19	8	1.74	2.47	3.26	-1.58	-2.19	81	
6	19	13	4.70	4.86	2.66	-0.74	2.79	82	
6	19	18	4.20	3.22	5.58	-0.11	-3.13	83	
6	19	23	2.61	2.76	5.24	1.18	2.55	84	
6	19	28	10.66	17.45	-1.54	-30.09	-14.07	85	
6	19	33	6.48	5.27	3.56	35.92	26.01	86	
6	19	38	5.27	3.20	2.77	-2.55	0.17	87	
6	19	43	-11.40	-12.89	5.09	-10.00	-12.89	88	
6	23	3	5.96	4.45	4.46	0.39	-0.39	89	
6	23	8	1.81	-1.36	3.83	2.30	3.74	90	
6	23	13	2.69	10.52	-8.51	-26.52	-22.32	91	
6	23	18	13.22	5.45	8.86	7.47	2.72	92	
6	23	23	3.90	8.33	0.03	-5.41	-7.26	93	
6	23	28	-14.98	-26.83	8.89	-3.45	11.51	94	
6	23	33	8.24	11.20	3.23	-0.60	2.32	95	
6	23	38	14.48	11.76	2.48	-6.85	-5.17	96	
6	23	43	0.91	4.31	1.33	23.72	16.95	97	
6	27	3	4.36	1.68	4.46	4.11	-2.20	98	
6	27	8	6.04	7.71	1.00	-0.33	-1.07	99	
6	27	13	-28.00	-4.67	26.99	10.35	-30.44	100	
6	27	18	2.59	2.78	6.87	-1.99	-5.80	101	
6	27	23	-6.33	-8.01	2.61	-12.87	-15.91	102	
6	27	28	6.54	14.87	0.61	10.34	8.62	103	
6	27	33	5.84	5.05	3.83	-6.44	0.75	104	
6	27	38	-24.03	-4.64	9.13	-6.34	-42.44	105	
6	27	43	4.60	9.04	-1.61	-2.15	0.25	106	
6	31	3	3.60	4.85	2.86	0.92	-0.07	107	
6	31	8	14.06	2.97	7.51	-7.45	-3.20	108	
6	31	13	-2.52	-2.91	-22.35	7.87	67.05	109	
6	31	18	20.14	19.48	-0.86	3.53	-13.91	110	
6	31	23	0.75	1.28	0.74	23.42	17.96	111	
6	31	28	4.89	3.00	3.79	0.94	1.51	112	
6	31	33	33.91	20.94	6.74	-23.76	-7.02	113	
6	31	38	-36.14	-44.97	-6.02	64.43	12.13	114	
6	31	43	3.62	0.56	3.93	-7.45	6.89	115	
6	35	3	2.42	-0.39	3.63	1.12	-0.11	116	
6	35	8	2.16	1.97	3.37	-0.40	2.32	117	
6	35	13	25.39	19.54	0.20	-29.41	-17.43	118	
6	35	18	-4.55	-29.22	4.40	25.69	4.46	119	
6	35	23	4.41	5.48	0.36	3.13	6.12	120	
6	35	28	3.66	4.90	1.19	-1.23	-1.05	121	
6	35	33	17.37	-6.28	17.17	-14.77	8.50	122	
6	35	38	11.05	39.78	-4.28	34.40	36.14	123	
6	35	43	1.73	2.17	3.70	-2.62	-2.86	124	
6	39	3	4.09	5.39	1.06	2.37	-0.42	125	
6	39	8	4.59	3.82	3.41	3.50	0.05	126	
6	39	13	5.67	-19.20	10.91	-30.76	17.47	127	
6	39	18	10.74	24.46	-1.28	21.50	22.07	128	
6	39	23	2.43	3.62	4.65	2.24	-1.42	129	
6	39	28	3.72	0.82	3.01	-1.39	2.56	130	
6	39	33	1.04	5.49	1.74	2.10	-0.18	131	
6	39	38	2.12	6.14	2.60	-0.57	-0.51	132	
6	39	43	-0.17	1.52	3.61	-2.81	2.14	133	
6	43	3	0.89	0.51	2.41	-1.63	2.40	134	
6	43	8	3.12	2.97	2.42	1.73	2.00	135	
6	43	13	3.59	7.58	2.28	-1.37	-2.64	136	
6	43	18	2.22	1.26	0.63	0.29	-2.00	137	
6	43	23	2.52	-0.01	0.22	0.62	-1.52	138	
6	43	28	6.53	2.56	2.45	-0.70	-1.16	139	
6	43	33	-21.37	-0.37	-16.07	-23.02	-45.83	140	
6	43	38	3.04	5.90	28.02	10.43	-26.67	141	
6	43	43	-1.76	1.51	-0.94	-0.15	-1.61	142	
